Artist,Track,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,speechiness,tempo
Riton,7i9j813KFoSBMldGqlh2Z1,Back To You - Riton & Kah-Lo Remix,0.0283,0.747,0.751,3.71e-05,6,0.498,-5.053,0.0342,113.001
Riton,7i9j813KFoSBMldGqlh2Z1,Rinse & Repeat - Radio Edit,0.0377,0.78,0.726,0.00337,6,0.133,-6.486,0.0612,122.007
Riton,7i9j813KFoSBMldGqlh2Z1,Catching Feelings (feat. Mr Eazi),0.148,0.764,0.692,4.12e-05,6,0.129,-7.769,0.0828,119.918
Riton,7i9j813KFoSBMldGqlh2Z1,Up & Down,0.0222,0.808,0.858,0.721,0,0.0829,-5.919,0.0449,125.006
Riton,7i9j813KFoSBMldGqlh2Z1,Ginger - Todd Terry Remix,0.0971,0.794,0.92,0.00236,11,0.0468,-6.647,0.0542,124.001
Riton,7i9j813KFoSBMldGqlh2Z1,Deeper,0.00971,0.69,0.878,0,11,0.138,-3.978,0.0472,123.978
Riton,7i9j813KFoSBMldGqlh2Z1,Dangerous,0.13,0.866,0.761,0.391,3,0.0967,-8.324,0.0664,123.976
Riton,7i9j813KFoSBMldGqlh2Z1,Fasta,0.0131,0.802,0.845,0.283,2,0.0353,-4.742,0.0633,120.993
Disciples,5EehXjjMktLuJmbRsM7YfB,How Deep Is Your Love,0.0389,0.738,0.868,0.00171,11,0.388,-4.373,0.0731,122.003
Disciples,5EehXjjMktLuJmbRsM7YfB,On My Mind,0.0435,0.741,0.893,3.19e-05,0,0.0371,-2.549,0.0384,122.056
Disciples,5EehXjjMktLuJmbRsM7YfB,Jealousy - GOLD RVSH Remix,0.0279,0.759,0.715,0.00043,11,0.0733,-7.529,0.0337,120.028
Disciples,5EehXjjMktLuJmbRsM7YfB,How Deep Is Your Love - Chris Lake Remix,0.00224,0.727,0.85,0.00843,4,0.412,-4.991,0.0425,121.973
Disciples,5EehXjjMktLuJmbRsM7YfB,On My Mind - Deepend Remix,0.00418,0.701,0.833,0.000133,0,0.346,-6.586,0.05,122.034
Disciples,5EehXjjMktLuJmbRsM7YfB,48HRS,0.0558,0.773,0.728,0.245,8,0.0945,-7.334,0.057,119.97
Disciples,5EehXjjMktLuJmbRsM7YfB,Yellow,0.0339,0.543,0.629,0,7,0.128,-6.841,0.0855,121.955
Disciples,5EehXjjMktLuJmbRsM7YfB,Daylight - Radio Edit,0.113,0.905,0.677,1.2e-05,0,0.0792,-5.703,0.0677,122.027
Disciples,5EehXjjMktLuJmbRsM7YfB,They Don't Know - Radio Edit,0.0135,0.801,0.79,0.586,0,0.0522,-4.436,0.0467,120.006
Disciples,5EehXjjMktLuJmbRsM7YfB,Atheist,0.000607,0.85,0.59,0.0708,8,0.107,-8.427,0.0695,123.012
Mike Mago,5lwT6gFdwV3Wcol07KUiJx,Remedy,0.0321,0.738,0.965,0.0128,0,0.111,-3.154,0.0776,123.047
Mike Mago,5lwT6gFdwV3Wcol07KUiJx,One In A Trillion,0.0566,0.685,0.804,0,4,0.114,-3.963,0.0849,125.965
Mike Mago,5lwT6gFdwV3Wcol07KUiJx,The Gift - Mark Knight Remix,0.0498,0.639,0.954,0.427,6,0.102,-6.314,0.0987,124.05
Mike Mago,5lwT6gFdwV3Wcol07KUiJx,Secret Stash,0.0473,0.686,0.851,0.0195,0,0.109,-2.723,0.0476,123.055
Mike Mago,5lwT6gFdwV3Wcol07KUiJx,Feels So Good,0.0177,0.634,0.903,0.0636,9,0.089,-4.46,0.0414,126.009
Mike Mago,5lwT6gFdwV3Wcol07KUiJx,Deeper Love - Radio Edit,0.106,0.67,0.763,0,9,0.0432,-5.449,0.071,123.923
Mike Mago,5lwT6gFdwV3Wcol07KUiJx,Outlines - Radio Edit,0.0827,0.738,0.76,0.0834,9,0.13,-7.359,0.0692,122.952
Mike Mago,5lwT6gFdwV3Wcol07KUiJx,Dangerous Behaviour,0.0991,0.646,0.829,0,8,0.347,-4.629,0.14,90.005
Mike Mago,5lwT6gFdwV3Wcol07KUiJx,Meant To Be,0.00119,0.599,0.796,0.128,0,0.137,-6.865,0.0378,124.012
Mike Mago,5lwT6gFdwV3Wcol07KUiJx,Give Me Your Love,0.153,0.622,0.927,0,0,0.61,-3.504,0.196,120.028
Just Kiddin,4bazJLWIv8CuqmgxJRiGqo,Body Talk,0.04,0.792,0.787,0.00295,5,0.166,-5.299,0.0416,120.004
Just Kiddin,4bazJLWIv8CuqmgxJRiGqo,Indiana,0.0408,0.643,0.819,1.96e-05,5,0.263,-4.968,0.0368,119.976
Just Kiddin,4bazJLWIv8CuqmgxJRiGqo,Sweetest Thing - Club Mix,0.00486,0.637,0.801,0.116,5,0.359,-5.136,0.0625,124.008
Just Kiddin,4bazJLWIv8CuqmgxJRiGqo,My Life,0.00169,0.783,0.874,1.08e-06,3,0.111,-4.945,0.071,119.994
Just Kiddin,4bazJLWIv8CuqmgxJRiGqo,Won't Let You Down,0.0852,0.586,0.899,0,4,0.355,-3.458,0.0682,119.856
Just Kiddin,4bazJLWIv8CuqmgxJRiGqo,Thinking About It - Radio Edit,0.0237,0.69,0.836,0.000116,5,0.112,-6.224,0.038,119.999
Just Kiddin,4bazJLWIv8CuqmgxJRiGqo,More To Life,0.0129,0.68,0.814,7.08e-05,9,0.283,-4.228,0.13,121.027
Just Kiddin,4bazJLWIv8CuqmgxJRiGqo,Hysteria,0.0155,0.666,0.881,0.00158,2,0.111,-4.886,0.0386,121.002
Just Kiddin,4bazJLWIv8CuqmgxJRiGqo,Good Morning - Just Kiddin Remix,0.0112,0.702,0.935,0.509,8,0.315,-4.135,0.054,122.957
Just Kiddin,4bazJLWIv8CuqmgxJRiGqo,Spritzer,0.00137,0.751,0.858,0.861,10,0.154,-6.48,0.0581,122.026
Zac Samuel,3imlibJrwqYv8gqII7u4r0,Say Something - Zac Samuel Remix,0.0099,0.698,0.697,8.04e-06,7,0.144,-6.125,0.0389,119.993
Zac Samuel,3imlibJrwqYv8gqII7u4r0,Never Letting Go,0.0394,0.658,0.831,0.0036,9,0.247,-4.113,0.0375,108.025
Zac Samuel,3imlibJrwqYv8gqII7u4r0,Play It Cool - Crazy Cousinz Remix,0.00121,0.64,0.938,0.223,6,0.199,-5.625,0.0333,124.004
Zac Samuel,3imlibJrwqYv8gqII7u4r0,Who Do You Think Of? - Zac Samuel Remix,0.00675,0.574,0.885,0.000667,2,0.353,-5.903,0.0679,119.988
Zac Samuel,3imlibJrwqYv8gqII7u4r0,Set Out Your Loving,0.327,0.63,0.862,0,7,0.824,-5.071,0.0605,125.124
Zac Samuel,3imlibJrwqYv8gqII7u4r0,Got the Feeling - Zac Samuel Remix,0.00899,0.677,0.709,0.000285,0,0.119,-9.293,0.0309,123.96
Zac Samuel,3imlibJrwqYv8gqII7u4r0,Takes A Little Time,0.132,0.681,0.783,0.0112,7,0.156,-5.986,0.034,117.985
Zac Samuel,3imlibJrwqYv8gqII7u4r0,Sunset Lover - Zac Samuel Remix,0.61,0.691,0.642,0.0976,6,0.14,-8.272,0.03,117.993
Zac Samuel,3imlibJrwqYv8gqII7u4r0,Losing You,0.0106,0.713,0.706,0.0728,0,0.0984,-7.199,0.0426,122.005
Zac Samuel,3imlibJrwqYv8gqII7u4r0,Play It Cool,0.0115,0.666,0.714,3.67e-05,1,0.265,-6.921,0.0318,97.012
Route 94,1dgdvbogmctybPrGEcnYf6,My Love (feat. Jess Glynne),0.000132,0.814,0.622,0.72,8,0.0658,-7.573,0.0492,119.976
Route 94,1dgdvbogmctybPrGEcnYf6,House & Pressure,0.00454,0.868,0.66,0.205,10,0.0843,-6.079,0.057,125.983
Route 94,1dgdvbogmctybPrGEcnYf6,Tell You Why,0.0338,0.806,0.501,0.805,3,0.104,-8.915,0.0675,122.999
Route 94,1dgdvbogmctybPrGEcnYf6,In My Heart,0.00206,0.861,0.698,0.847,11,0.0504,-8.975,0.0496,119.994
Route 94,1dgdvbogmctybPrGEcnYf6,My Love (feat. Jess Glynne) - Sigma Remix,0.000635,0.519,0.979,0.0151,10,0.118,-2.513,0.0686,174.976
Route 94,1dgdvbogmctybPrGEcnYf6,House & Pressure - Original Mix,0.000125,0.809,0.672,0.806,10,0.0731,-7.944,0.0572,125.989
Route 94,1dgdvbogmctybPrGEcnYf6,Caramel,0.115,0.808,0.708,0.621,11,0.0902,-7.175,0.048,125.029
Route 94,1dgdvbogmctybPrGEcnYf6,My Love (feat. Jess Glynne) - Royal-T Remix,0.0119,0.76,0.751,3.83e-05,1,0.146,-6.804,0.0402,129.989
Route 94,1dgdvbogmctybPrGEcnYf6,Look Right Through - Route 94 Sun Comes Up Remix,0.0037,0.813,0.818,0.56,7,0.0313,-6.791,0.0502,119.997
Route 94,1dgdvbogmctybPrGEcnYf6,A Brand New Day,0.095,0.812,0.56,0.866,11,0.446,-12.606,0.0923,127.995
Gorgon City,4VNQWV2y1E97Eqo2D5UTjx,Real Life,0.148,0.543,0.74,0.00358,7,0.142,-5.187,0.0557,123.916
Gorgon City,4VNQWV2y1E97Eqo2D5UTjx,Go Deep,0.207,0.78,0.742,0.000246,9,0.0831,-6.379,0.0481,124.962
Gorgon City,4VNQWV2y1E97Eqo2D5UTjx,Ready For Your Love,0.0531,0.677,0.753,0.0128,5,0.333,-7.038,0.154,121.939
Gorgon City,4VNQWV2y1E97Eqo2D5UTjx,One Last Song,0.0371,0.66,0.831,0,6,0.238,-5.535,0.0469,110.034
Gorgon City,4VNQWV2y1E97Eqo2D5UTjx,All Four Walls,0.0111,0.552,0.837,0.213,5,0.0773,-6.246,0.0403,123.951
Gorgon City,4VNQWV2y1E97Eqo2D5UTjx,Imagination,0.0291,0.682,0.701,0.000643,0,0.298,-7.517,0.0327,121.989
Gorgon City,4VNQWV2y1E97Eqo2D5UTjx,Saving My Life,0.0137,0.68,0.788,4.83e-05,8,0.0955,-7.643,0.0602,123.003
Gorgon City,4VNQWV2y1E97Eqo2D5UTjx,Kingdom,0.0971,0.702,0.788,0,9,0.0864,-5.543,0.0652,117.015
Gorgon City,4VNQWV2y1E97Eqo2D5UTjx,Let It Go - Sonny Fodera Remix,0.00461,0.768,0.773,0.0666,6,0.18,-5.603,0.0361,124.008
Gorgon City,4VNQWV2y1E97Eqo2D5UTjx,Hear That,0.0133,0.842,0.823,0.281,11,0.676,-6.35,0.0441,124.99
MK,1yqxFtPHKcGcv6SXZNdyT9,Back & Forth,0.0181,0.684,0.816,0,10,0.0222,-5.211,0.0322,121.993
MK,1yqxFtPHKcGcv6SXZNdyT9,17,0.00149,0.703,0.832,0.127,0,0.0696,-7.202,0.0689,122.029
MK,1yqxFtPHKcGcv6SXZNdyT9,Piece of Me,0.00565,0.68,0.913,0,5,0.288,-2.343,0.0844,121.961
MK,1yqxFtPHKcGcv6SXZNdyT9,17 - 6am Remix,0.00393,0.71,0.625,0.471,8,0.318,-8.331,0.0346,120.023
MK,1yqxFtPHKcGcv6SXZNdyT9,Push The Feeling On - Mk Dub Revisited Edit,0.0308,0.8,0.502,1.19e-05,6,0.211,-13.298,0.032,123.041
MK,1yqxFtPHKcGcv6SXZNdyT9,Look Right Through - Mk Vocal Edit,0.00212,0.834,0.819,0.00306,0,0.279,-7.989,0.0841,119.99
MK,1yqxFtPHKcGcv6SXZNdyT9,Promises (with Sam Smith) - MK Remix,0.0109,0.728,0.912,0.309,1,0.0493,-6.047,0.0409,122.975
MK,1yqxFtPHKcGcv6SXZNdyT9,I Went Too Far - MK Remix / Radio Version,0.0425,0.674,0.754,0.00536,7,0.12,-6.468,0.0387,120.049
MK,1yqxFtPHKcGcv6SXZNdyT9,Back & Forth - MK Dub,0.00864,0.761,0.503,0,10,0.0658,-7.57,0.0392,123.991
MK,1yqxFtPHKcGcv6SXZNdyT9,Bring Me to Life,0.0818,0.557,0.853,0,9,0.13,-2.917,0.0406,124.968
Shift K3Y,26OrZl5U3VNGHU9qUj8EcM,Entirety,0.00313,0.736,0.841,2.29e-05,2,0.0533,-4.023,0.087,125.024
Shift K3Y,26OrZl5U3VNGHU9qUj8EcM,Touch,0.263,0.758,0.907,1.99e-06,6,0.062,-6.099,0.247,133.042
Shift K3Y,26OrZl5U3VNGHU9qUj8EcM,Only You,0.0269,0.724,0.866,1.13e-06,2,0.496,-4.96,0.0423,125.003
Shift K3Y,26OrZl5U3VNGHU9qUj8EcM,Jumanji - Shift K3Y Remix,0.0223,0.811,0.903,0.00036,10,0.0456,-4.598,0.166,126.018
Shift K3Y,26OrZl5U3VNGHU9qUj8EcM,Satisfied (feat. MAX) - Shift K3Y Remix,0.00535,0.765,0.754,0.000217,1,0.231,-5.673,0.0839,128.025
Shift K3Y,26OrZl5U3VNGHU9qUj8EcM,I Know - Radio Edit,0.00273,0.689,0.663,0.000489,6,0.0903,-5.04,0.0335,121.998
Shift K3Y,26OrZl5U3VNGHU9qUj8EcM,Just Fine - Shift K3Y Remix,0.0166,0.708,0.933,8.05e-05,0,0.253,-4.465,0.0796,125.997
Shift K3Y,26OrZl5U3VNGHU9qUj8EcM,Best Life - Shift K3Y Remix,0.0736,0.807,0.881,2.88e-05,6,0.106,-5.242,0.0849,129.974
Shift K3Y,26OrZl5U3VNGHU9qUj8EcM,Gone Missing,0.023,0.641,0.919,3.77e-05,5,0.324,-2.098,0.0421,128.028
Shift K3Y,26OrZl5U3VNGHU9qUj8EcM,Entirety - Galantis Remix,0.0965,0.889,0.604,7.38e-05,2,0.0813,-4.468,0.3,125.001
Tough Love,16KSSLMXOdKQ2MHt9bOHTG,Dancin' Kinda Close,0.00547,0.757,0.762,0.0276,6,0.0431,-6.868,0.0733,123.02
Tough Love,16KSSLMXOdKQ2MHt9bOHTG,So Freakin' Tight,0.00858,0.784,0.839,0.00366,0,0.373,-6.81,0.0426,123.988
Tough Love,16KSSLMXOdKQ2MHt9bOHTG,Rain Dance,0.167,0.7,0.96,0.00601,7,0.305,-4.885,0.0974,124.899
Tough Love,16KSSLMXOdKQ2MHt9bOHTG,Closer To Love - Main Mix,0.0012,0.679,0.872,0.000203,6,0.216,-5.817,0.032,123.996
Tough Love,16KSSLMXOdKQ2MHt9bOHTG,Missing Love,0.00137,0.602,0.882,0.772,8,0.0591,-5.023,0.0363,125.02
Tough Love,16KSSLMXOdKQ2MHt9bOHTG,Get Low,0.00929,0.779,0.885,0.000833,0,0.115,-5.238,0.0376,126.007
Tough Love,16KSSLMXOdKQ2MHt9bOHTG,Pony (Jump On It) - Radio Mix,0.0127,0.676,0.834,0.00568,6,0.401,-5.927,0.0443,124.024
Tough Love,16KSSLMXOdKQ2MHt9bOHTG,What You Need Is Me - Dub Mix,0.0226,0.778,0.875,0.843,5,0.0679,-5.753,0.0627,123.018
Tough Love,16KSSLMXOdKQ2MHt9bOHTG,Pony (Jump On It) - Leon Lour Remix,0.00408,0.71,0.873,0.00131,9,0.338,-6.852,0.173,123.988
Tough Love,16KSSLMXOdKQ2MHt9bOHTG,Pony (Jump On It) - Extended Mix,0.0059,0.727,0.753,0.0649,6,0.0391,-6.133,0.0496,124.025
Low Steppa,5OImcY3khBn9UFjzgaapob,Runnin',0.000653,0.551,0.935,0.00217,0,0.298,-4.101,0.0368,123.037
Low Steppa,5OImcY3khBn9UFjzgaapob,Heard It All Before,0.021,0.689,0.874,0,10,0.335,-5.121,0.0571,123.012
Low Steppa,5OImcY3khBn9UFjzgaapob,Can't Lie,0.00618,0.675,0.904,0,10,0.338,-3.477,0.0393,122.99
Low Steppa,5OImcY3khBn9UFjzgaapob,Playing Drunk,0.000925,0.802,0.979,0.38,9,0.818,-5.277,0.052,123.996
Low Steppa,5OImcY3khBn9UFjzgaapob,One Day,0.00092,0.642,0.841,0.898,10,0.0563,-8.248,0.0581,125.007
Low Steppa,5OImcY3khBn9UFjzgaapob,So Real - Low Steppa Club Mix,0.0167,0.8,0.845,0.692,7,0.516,-6.435,0.105,122.035
Low Steppa,5OImcY3khBn9UFjzgaapob,Promo Tool,0.000666,0.811,0.865,0.353,11,0.0599,-7.286,0.141,124.995
Low Steppa,5OImcY3khBn9UFjzgaapob,No Love - Club Mix,0.00368,0.638,0.874,8.32e-05,1,0.177,-5.9,0.187,122.976
Low Steppa,5OImcY3khBn9UFjzgaapob,I Won't Stop,0.00437,0.663,0.948,0.0595,10,0.296,-3.834,0.0341,123.992
Low Steppa,5OImcY3khBn9UFjzgaapob,No Love,0.00398,0.602,0.82,0.00125,3,0.0566,-5.177,0.0609,122.973
Secondcity,2ew9JvyyuOGkhahuwdovDq,I Wanna Feel,0.0693,0.69,0.895,0.00237,10,0.102,-6.305,0.0596,122.022
Secondcity,2ew9JvyyuOGkhahuwdovDq,I Enter - Original Mix,0.000499,0.829,0.727,0.852,10,0.0352,-9.199,0.0563,123.002
Secondcity,2ew9JvyyuOGkhahuwdovDq,Never Been In Love,0.126,0.772,0.889,0.121,1,0.14,-6.336,0.325,122.066
Secondcity,2ew9JvyyuOGkhahuwdovDq,Tomorrow’s World,0.000576,0.565,0.916,0.162,5,0.0496,-7.009,0.19,126.03
Secondcity,2ew9JvyyuOGkhahuwdovDq,A’ndia,0.0161,0.838,0.963,0.732,1,0.0824,-6.445,0.0644,125.006
Secondcity,2ew9JvyyuOGkhahuwdovDq,Kwelanga,0.00207,0.742,0.965,0.915,11,0.0454,-6.869,0.0417,124.007
Secondcity,2ew9JvyyuOGkhahuwdovDq,Set You Free - Secondcity Terrace 91 Remix,0.19,0.858,0.83,0.656,10,0.105,-7.39,0.0672,124.979
Secondcity,2ew9JvyyuOGkhahuwdovDq,Can You Feel It,0.101,0.797,0.953,0.928,5,0.0862,-7.516,0.0483,124.997
Secondcity,2ew9JvyyuOGkhahuwdovDq,ILanga,0.00088,0.77,0.876,0.851,11,0.0808,-6.912,0.0673,126.005
Secondcity,2ew9JvyyuOGkhahuwdovDq,History of Groove,0.0355,0.804,0.87,0.873,6,0.0838,-8.287,0.138,123.013
The Magician,4WUGQykLBGFfsl0Qjl6TDM,I Follow Rivers - The Magician Remix,0.0234,0.786,0.696,0.0019,9,0.0839,-5.796,0.0428,121.974
The Magician,4WUGQykLBGFfsl0Qjl6TDM,SHY (feat. Brayton Bowman),0.00995,0.601,0.802,0.00392,1,0.131,-3.882,0.0511,122.979
The Magician,4WUGQykLBGFfsl0Qjl6TDM,Sunlight (feat. Years and Years) - Radio Edit,0.0114,0.633,0.818,0,1,0.259,-5.437,0.0376,121.975
The Magician,4WUGQykLBGFfsl0Qjl6TDM,Las Vegas,0.0319,0.783,0.718,6.57e-06,11,0.123,-5.82,0.0636,105.011
The Magician,4WUGQykLBGFfsl0Qjl6TDM,Side Effects - The Magician Remix,0.00134,0.772,0.504,0.00138,0,0.0789,-9.857,0.0762,110.003
The Magician,4WUGQykLBGFfsl0Qjl6TDM,Love Break,0.133,0.711,0.864,0,10,0.0943,-4.548,0.0813,102.004
The Magician,4WUGQykLBGFfsl0Qjl6TDM,Rather Be (feat. Jess Glynne) - The Magician Remix,0.0154,0.807,0.731,0.0775,1,0.0974,-6.871,0.0432,121.018
The Magician,4WUGQykLBGFfsl0Qjl6TDM,Build a Fire,0.00486,0.757,0.845,2.37e-05,4,0.109,-3.634,0.134,103.95
The Magician,4WUGQykLBGFfsl0Qjl6TDM,Tied Up,0.166,0.813,0.78,0,6,0.0884,-3.863,0.0434,109.971
The Magician,4WUGQykLBGFfsl0Qjl6TDM,Together,0.111,0.709,0.861,7.86e-05,10,0.13,-4.091,0.0373,121.995
Le Youth,1Zz6NBe8UIZjm88TvehFtx,Me Without You,0.0285,0.729,0.613,0.000104,6,0.0737,-6.933,0.0989,111.94
Le Youth,1Zz6NBe8UIZjm88TvehFtx,Clap Your Hands (feat. Ava Max),0.00507,0.788,0.824,0.00752,11,0.183,-4.85,0.0761,111.988
Le Youth,1Zz6NBe8UIZjm88TvehFtx,If You're Leaving,0.0119,0.709,0.764,0.00111,7,0.355,-6.221,0.0601,120.093
Le Youth,1Zz6NBe8UIZjm88TvehFtx,C O O L - Radio Edit,0.0242,0.735,0.759,0.185,1,0.0966,-6.914,0.0449,109.982
Le Youth,1Zz6NBe8UIZjm88TvehFtx,Boomerang,0.00267,0.726,0.699,0,6,0.146,-7.356,0.0822,112.007
Le Youth,1Zz6NBe8UIZjm88TvehFtx,Walk Away,0.129,0.667,0.902,0,7,0.065,-3.824,0.0364,117.969
Le Youth,1Zz6NBe8UIZjm88TvehFtx,R E A L,0.0173,0.772,0.769,0.000631,11,0.05,-6.387,0.137,114.984
Le Youth,1Zz6NBe8UIZjm88TvehFtx,Lie - Le Youth Remix,0.133,0.719,0.736,0.00394,5,0.201,-6.569,0.156,119.004
Le Youth,1Zz6NBe8UIZjm88TvehFtx,I Could Always (feat. MNDR),0.0263,0.677,0.928,7.4e-05,1,0.394,-4.496,0.0538,103.994
Le Youth,1Zz6NBe8UIZjm88TvehFtx,Let You Go - Le Youth Remix,0.106,0.723,0.774,0.00601,1,0.495,-5.171,0.0985,117.979
Weiss (UK),0FBRY66KVaAiddGVefikLB,Feel My Needs,0.001,0.789,0.692,0.861,3,0.0505,-5.966,0.0475,121.998
Weiss (UK),0FBRY66KVaAiddGVefikLB,Feel My Needs (Turn Around),0.00916,0.695,0.848,0.109,3,0.12,-6.068,0.0506,122.028
Weiss (UK),0FBRY66KVaAiddGVefikLB,You're Sunshine,0.00859,0.462,0.921,0.00962,1,0.136,-6.578,0.0421,122.985
Weiss (UK),0FBRY66KVaAiddGVefikLB,Feel My Needs - Purple Disco Machine Remix,0.0127,0.707,0.896,0.859,3,0.0182,-5.157,0.0538,122.011
Weiss (UK),0FBRY66KVaAiddGVefikLB,Feel My Needs - Gorgon City Remix,0.00043,0.646,0.902,0.906,7,0.0663,-6.505,0.0428,125.001
Weiss (UK),0FBRY66KVaAiddGVefikLB,My Sister - Original Mix,0.00107,0.883,0.518,0.667,7,0.0991,-8.548,0.126,119.999
Weiss (UK),0FBRY66KVaAiddGVefikLB,Feel My Needs - Original Mix,0.0017,0.826,0.64,0.856,3,0.0273,-6.557,0.0544,122.003
Weiss (UK),0FBRY66KVaAiddGVefikLB,Feel My Needs - Even Shorter Version,0.00288,0.671,0.812,0.811,3,0.185,-6.615,0.0364,122.015
Weiss (UK),0FBRY66KVaAiddGVefikLB,Say It To Me,0.0696,0.471,0.77,0.28,11,0.0895,-8.778,0.103,125.946
Weiss (UK),0FBRY66KVaAiddGVefikLB,Baby Talk To Me - Original Mix,0.0288,0.753,0.889,0.0336,1,0.136,-8.939,0.041,117.997
Blonde,2nuKjZLgc7II6FO4Rxjt5e,|Me, Myself & I (feat. Bryn Christopher)|,0.0137,0.713,0.855,0.000543,10,0.111,-3.768,0.0417,119.902
Blonde,2nuKjZLgc7II6FO4Rxjt5e,All Cried Out (feat. Alex Newell),0.428,0.657,0.757,0,0,0.0728,-5.257,0.0584,122.056
Blonde,2nuKjZLgc7II6FO4Rxjt5e,I Loved You (feat. Melissa Steel),0.16,0.647,0.792,0,10,0.0624,-6.391,0.0504,122.432
Blonde,2nuKjZLgc7II6FO4Rxjt5e,Just For One Night (feat. Astrid S),0.277,0.814,0.539,0,8,0.0699,-8.48,0.171,118.005
Blonde,2nuKjZLgc7II6FO4Rxjt5e,Nothing Like This,0.1,0.724,0.846,0,8,0.054,-4.683,0.0373,124.006
Blonde,2nuKjZLgc7II6FO4Rxjt5e,Feel Good (It's Alright) [feat. Karen Harding],0.104,0.64,0.916,0,1,0.0521,-3.164,0.0479,123.995
Blonde,2nuKjZLgc7II6FO4Rxjt5e,Silence - Blonde Remix,0.00995,0.79,0.706,0.00105,11,0.0638,-6.562,0.0686,123.979
Blonde,2nuKjZLgc7II6FO4Rxjt5e,Hands On Me (feat. Maluma & Rae Sremmurd) - Blonde Remix,0.0342,0.831,0.812,0.00024,0,0.284,-6.125,0.141,124.08
Blonde,2nuKjZLgc7II6FO4Rxjt5e,All Cried Out (feat. Alex Newell) - Don Diablo Remix,0.00448,0.584,0.964,0.851,0,0.121,-2.995,0.0607,125.995
Blonde,2nuKjZLgc7II6FO4Rxjt5e,Just For One Night (feat. Astrid S) - JLV Remix,0.432,0.858,0.667,4.31e-06,11,0.0928,-6.816,0.0467,120.003
Redlight,4ly0VtIYiDYVA4q6ry0NUk,Get Out My Head,0.174,0.741,0.418,0.206,11,0.0796,-3.058,0.0488,138.076
